msoa11cd,age_total,age0to4pc,age5to14pc,age16to24pc,age25to44pc,age45to64pc,age75pluspc,nssec_total,1_higher_managerial,2_lower_managerial,3_intermediate_occupations,4_employers_small_org,5_lower_supervisory,6_semi_routine,7_routine,8_unemployed,avg_dwn_speed,avb_superfast,no_decent_bband,bband_speed_under2mbs,bband_speed_under10mbs,bband_speed_over30mbs
E02002311,6427,0.062081842,0.090555469,0.110471449,0.284269488,0.276178621,0.067372024,4465,0.092049272,0.216573348,0.133034714,0.085778275,0.087569989,0.166853303,0.160134378,0.058006719,30.9,0.957,0.005,0.008,0.199,0.493
E02002312,8137,0.057760846,0.066363525,0.337347917,0.259555119,0.164556962,0.04424235,4041,0.078198466,0.200197971,0.110368721,0.071764415,0.07918832,0.173224449,0.163573373,0.123484286,78.5,0.989,0.003,0.006,0.155,0.757
E02002313,7663,0.105180739,0.128148245,0.148505807,0.327025969,0.159859063,0.039671147,4395,0.045506257,0.104209329,0.088737201,0.103754266,0.069852105,0.138566553,0.182707622,0.266666667,74.3,0.985,0.015,0.009,0.253,0.709
E02002314,6009,0.05059078,0.094857713,0.098851722,0.228989849,0.273756033,0.106506906,3989,0.118325395,0.231135623,0.134369516,0.089245425,0.084231637,0.158435698,0.127600902,0.056655803,83.7,0.978,0.007,0.02,0.171,0.788
E02002315,6775,0.074391144,0.088708487,0.123247232,0.322066421,0.241476015,0.055645756,4759,0.067241017,0.206345871,0.134692162,0.083631015,0.094977937,0.184282412,0.159697415,0.069132171,66.4,0.968,0.03,0.009,0.13,0.606
E02002316,6435,0.054234654,0.093084693,0.084848485,0.245532246,0.293395493,0.079409479,4472,0.121422182,0.242397138,0.141100179,0.124105546,0.080500894,0.143783542,0.119633274,0.027057245,64.7,0.979,0.012,0.019,0.188,0.65
E02002317,7042,0.081510934,0.116160182,0.117154218,0.276767964,0.224084067,0.073416643,4478,0.067664136,0.162349263,0.12684234,0.098928093,0.080169719,0.172175078,0.164135775,0.127735596,76.5,0.987,0.001,0.016,0.209,0.713
E02002318,6404,0.054965646,0.079325422,0.123828857,0.245627733,0.275921299,0.089787633,4275,0.072280702,0.186666667,0.132397661,0.079064327,0.089356725,0.187134503,0.177309942,0.075789474,84.6,0.992,0.004,0.018,0.173,0.777
E02002319,6549,0.068254695,0.090548175,0.093602077,0.2910368,0.266605589,0.072835547,4541,0.095793878,0.228143581,0.12618366,0.114512222,0.103281216,0.154371284,0.139616824,0.038097335,36.3,0.882,0.104,0.015,0.296,0.499
E02002320,6398,0.049077837,0.0675211,0.096905283,0.244763989,0.295717412,0.101281651,4541,0.115613301,0.247963004,0.143140277,0.107465316,0.068707333,0.14666373,0.111869632,0.058577406,76.9,0.977,0.01,0.019,0.197,0.72
E02002321,7232,0.046321903,0.07300885,0.230641593,0.198285398,0.27613385,0.063329646,4290,0.161538462,0.283449883,0.129370629,0.120745921,0.071328671,0.116083916,0.093006993,0.024475524,55.2,0.836,0.026,0.012,0.172,0.48
E02002322,6401,0.062177785,0.087798781,0.079987502,0.256209967,0.319637557,0.068895485,4559,0.130730423,0.257293266,0.116034218,0.126562843,0.077867953,0.135336697,0.121956569,0.03421803,33.7,0.87,0.035,0.038,0.281,0.509
E02002323,8443,0.052706384,0.100556674,0.086699041,0.243160014,0.295747957,0.085396186,5818,0.163114472,0.270711585,0.144379512,0.117566174,0.065486421,0.117566174,0.094706085,0.026469577,59.8,0.963,0.004,0.008,0.113,0.588
E02002324,6520,0.052453988,0.09202454,0.085736196,0.237576687,0.297392638,0.084969325,4538,0.120978405,0.255619216,0.133318643,0.116130454,0.081533715,0.145879242,0.116571177,0.029969149,32.8,0.965,0.004,0.011,0.256,0.515
E02002325,8534,0.051089759,0.098078275,0.094562925,0.228966487,0.303726271,0.086360441,5764,0.127342124,0.250520472,0.141221374,0.106696738,0.080152672,0.14555864,0.113636364,0.034871617,75,0.969,0.006,0.004,0.055,0.604
E02002326,6264,0.063058748,0.105204342,0.083812261,0.249680715,0.29853129,0.063058748,4264,0.173780488,0.302532833,0.139774859,0.116322702,0.064727955,0.100375235,0.080440901,0.022045028,36.7,0.913,0.018,0.026,0.273,0.622
E02002327,9845,0.056780091,0.095987811,0.086236668,0.248247842,0.301675978,0.070492636,6935,0.154145638,0.267627974,0.128622927,0.119538572,0.077721702,0.121701514,0.105839942,0.02480173,36.6,0.974,0.007,0.019,0.156,0.593
E02002328,6976,0.048021789,0.095900229,0.087299312,0.221760321,0.321817661,0.080561927,4829,0.172706565,0.29778422,0.125698902,0.123835163,0.05901843,0.110996065,0.084489542,0.025471112,31.2,0.93,0.007,0.01,0.192,0.495
E02002329,11956,0.055955169,0.103964537,0.085563734,0.243141519,0.325526932,0.058882569,8347,0.161375344,0.290643345,0.123996646,0.132263089,0.06361567,0.111177669,0.09117048,0.025757757,33,0.919,0.016,0.013,0.213,0.518
E02002330,6598,0.043346469,0.091542892,0.083510155,0.190360715,0.32585632,0.096089724,4567,0.207138165,0.285745566,0.179329976,0.093058901,0.048828553,0.106853514,0.062623166,0.016422159,68.6,0.975,0,0.002,0.095,0.551
E02002331,6592,0.044599515,0.065078883,0.117566748,0.286104369,0.241656553,0.110133495,4736,0.109163851,0.202491554,0.126055743,0.097128378,0.075802365,0.141891892,0.142736486,0.10472973,52.1,0.807,0.076,0.005,0.073,0.509
E02002332,5849,0.054710207,0.10189776,0.091126688,0.216276287,0.292357668,0.096768678,3902,0.105586879,0.230907227,0.141465915,0.118657099,0.080984111,0.180164018,0.110199897,0.032034854,30.3,0.923,0,0.005,0.178,0.429
E02002333,7819,0.054354777,0.081596112,0.08402609,0.251566697,0.308479345,0.099629109,5469,0.154507223,0.278844396,0.139513622,0.110623514,0.063997074,0.143353447,0.086853172,0.022307552,35.7,0.96,0.002,0.005,0.09,0.47
E02002334,7116,0.059724564,0.083052277,0.070123665,0.229482856,0.28920742,0.108628443,4844,0.210776218,0.284269199,0.141412056,0.116845582,0.046655656,0.107968621,0.07535095,0.016721718,51.5,0.931,0.032,0.009,0.134,0.562
E02002335,7552,0.049920551,0.096927966,0.080243644,0.206170551,0.314618644,0.095736229,5080,0.237992126,0.310826772,0.127559055,0.136614173,0.039173228,0.082480315,0.043700787,0.021653543,36.1,0.855,0.024,0.013,0.186,0.539
E02002336,6765,0.054101996,0.103325942,0.071544715,0.208130081,0.305543237,0.106577975,4425,0.239096045,0.314124294,0.129717514,0.139435028,0.041355932,0.07819209,0.041355932,0.016723164,33.6,0.891,0.047,0.017,0.229,0.511
