Lower layer Super Output Areas Code,Lower layer Super Output Areas,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E01000011,Barking and Dagenham 016C,5,5. Skilled trades occupations,117
E01000011,Barking and Dagenham 016C,6,"6. Caring, leisure and other service occupations",52
E01000011,Barking and Dagenham 016C,7,7. Sales and customer service occupations,63
E01000011,Barking and Dagenham 016C,8,"8. Process, plant and machine operatives",86
E01000011,Barking and Dagenham 016C,9,9. Elementary occupations,151
E01000012,Barking and Dagenham 015D,-8,Does not apply,1445
E01000012,Barking and Dagenham 015D,1,"1. Managers, directors and senior officials",60
E01000012,Barking and Dagenham 015D,2,2. Professional occupations,129
E01000012,Barking and Dagenham 015D,3,3. Associate professional and technical occupations,95
E01000012,Barking and Dagenham 015D,4,4. Administrative and secretarial occupations,59
E01000012,Barking and Dagenham 015D,5,5. Skilled trades occupations,91
E01000012,Barking and Dagenham 015D,6,"6. Caring, leisure and other service occupations",104
E01000012,Barking and Dagenham 015D,7,7. Sales and customer service occupations,75
E01000012,Barking and Dagenham 015D,8,"8. Process, plant and machine operatives",100
E01000012,Barking and Dagenham 015D,9,9. Elementary occupations,189
E01000013,Barking and Dagenham 013A,-8,Does not apply,1072
E01000013,Barking and Dagenham 013A,1,"1. Managers, directors and senior officials",66
E01000013,Barking and Dagenham 013A,2,2. Professional occupations,104
E01000013,Barking and Dagenham 013A,3,3. Associate professional and technical occupations,67
E01000013,Barking and Dagenham 013A,4,4. Administrative and secretarial occupations,67
E01000013,Barking and Dagenham 013A,5,5. Skilled trades occupations,120
E01000013,Barking and Dagenham 013A,6,"6. Caring, leisure and other service occupations",106
E01000013,Barking and Dagenham 013A,7,7. Sales and customer service occupations,70
E01000013,Barking and Dagenham 013A,8,"8. Process, plant and machine operatives",74
E01000013,Barking and Dagenham 013A,9,9. Elementary occupations,126
E01000014,Barking and Dagenham 013B,-8,Does not apply,954
E01000014,Barking and Dagenham 013B,1,"1. Managers, directors and senior officials",66
E01000014,Barking and Dagenham 013B,2,2. Professional occupations,89
E01000014,Barking and Dagenham 013B,3,3. Associate professional and technical occupations,87
E01000014,Barking and Dagenham 013B,4,4. Administrative and secretarial occupations,81
E01000014,Barking and Dagenham 013B,5,5. Skilled trades occupations,100
E01000014,Barking and Dagenham 013B,6,"6. Caring, leisure and other service occupations",88
E01000014,Barking and Dagenham 013B,7,7. Sales and customer service occupations,57
E01000014,Barking and Dagenham 013B,8,"8. Process, plant and machine operatives",84
E01000014,Barking and Dagenham 013B,9,9. Elementary occupations,143
E01000015,Barking and Dagenham 009A,-8,Does not apply,1355
E01000015,Barking and Dagenham 009A,1,"1. Managers, directors and senior officials",65
E01000015,Barking and Dagenham 009A,2,2. Professional occupations,156
E01000015,Barking and Dagenham 009A,3,3. Associate professional and technical occupations,92
E01000015,Barking and Dagenham 009A,4,4. Administrative and secretarial occupations,88
E01000015,Barking and Dagenham 009A,5,5. Skilled trades occupations,156
E01000015,Barking and Dagenham 009A,6,"6. Caring, leisure and other service occupations",141
E01000015,Barking and Dagenham 009A,7,7. Sales and customer service occupations,82
E01000015,Barking and Dagenham 009A,8,"8. Process, plant and machine operatives",96
E01000015,Barking and Dagenham 009A,9,9. Elementary occupations,187
E01000016,Barking and Dagenham 009B,-8,Does not apply,989
E01000016,Barking and Dagenham 009B,1,"1. Managers, directors and senior officials",69
E01000016,Barking and Dagenham 009B,2,2. Professional occupations,129
E01000016,Barking and Dagenham 009B,3,3. Associate professional and technical occupations,73
E01000016,Barking and Dagenham 009B,4,4. Administrative and secretarial occupations,79
E01000016,Barking and Dagenham 009B,5,5. Skilled trades occupations,119
E01000016,Barking and Dagenham 009B,6,"6. Caring, leisure and other service occupations",107
E01000016,Barking and Dagenham 009B,7,7. Sales and customer service occupations,65
E01000016,Barking and Dagenham 009B,8,"8. Process, plant and machine operatives",78
E01000016,Barking and Dagenham 009B,9,9. Elementary occupations,145
E01000017,Barking and Dagenham 009C,-8,Does not apply,973
E01000017,Barking and Dagenham 009C,1,"1. Managers, directors and senior officials",45
E01000017,Barking and Dagenham 009C,2,2. Professional occupations,132
E01000017,Barking and Dagenham 009C,3,3. Associate professional and technical occupations,69
E01000017,Barking and Dagenham 009C,4,4. Administrative and secretarial occupations,75
E01000017,Barking and Dagenham 009C,5,5. Skilled trades occupations,92
E01000017,Barking and Dagenham 009C,6,"6. Caring, leisure and other service occupations",98
E01000017,Barking and Dagenham 009C,7,7. Sales and customer service occupations,54
E01000017,Barking and Dagenham 009C,8,"8. Process, plant and machine operatives",65
E01000017,Barking and Dagenham 009C,9,9. Elementary occupations,121
E01000018,Barking and Dagenham 009D,-8,Does not apply,943
E01000018,Barking and Dagenham 009D,1,"1. Managers, directors and senior officials",72
E01000018,Barking and Dagenham 009D,2,2. Professional occupations,115
