Lower layer Super Output Areas Code,Lower layer Super Output Areas,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E01000489,Brent 030A,5,5. Skilled trades occupations,41
E01000489,Brent 030A,6,"6. Caring, leisure and other service occupations",73
E01000489,Brent 030A,7,7. Sales and customer service occupations,39
E01000489,Brent 030A,8,"8. Process, plant and machine operatives",33
E01000489,Brent 030A,9,9. Elementary occupations,77
E01000490,Brent 023A,-8,Does not apply,769
E01000490,Brent 023A,1,"1. Managers, directors and senior officials",144
E01000490,Brent 023A,2,2. Professional occupations,336
E01000490,Brent 023A,3,3. Associate professional and technical occupations,191
E01000490,Brent 023A,4,4. Administrative and secretarial occupations,71
E01000490,Brent 023A,5,5. Skilled trades occupations,62
E01000490,Brent 023A,6,"6. Caring, leisure and other service occupations",68
E01000490,Brent 023A,7,7. Sales and customer service occupations,51
E01000490,Brent 023A,8,"8. Process, plant and machine operatives",26
E01000490,Brent 023A,9,9. Elementary occupations,49
E01000491,Brent 030B,-8,Does not apply,1037
E01000491,Brent 030B,1,"1. Managers, directors and senior officials",218
E01000491,Brent 030B,2,2. Professional occupations,295
E01000491,Brent 030B,3,3. Associate professional and technical occupations,182
E01000491,Brent 030B,4,4. Administrative and secretarial occupations,81
E01000491,Brent 030B,5,5. Skilled trades occupations,39
E01000491,Brent 030B,6,"6. Caring, leisure and other service occupations",66
E01000491,Brent 030B,7,7. Sales and customer service occupations,55
E01000491,Brent 030B,8,"8. Process, plant and machine operatives",22
E01000491,Brent 030B,9,9. Elementary occupations,71
E01000492,Brent 030C,-8,Does not apply,630
E01000492,Brent 030C,1,"1. Managers, directors and senior officials",137
E01000492,Brent 030C,2,2. Professional occupations,173
E01000492,Brent 030C,3,3. Associate professional and technical occupations,93
E01000492,Brent 030C,4,4. Administrative and secretarial occupations,52
E01000492,Brent 030C,5,5. Skilled trades occupations,41
E01000492,Brent 030C,6,"6. Caring, leisure and other service occupations",49
E01000492,Brent 030C,7,7. Sales and customer service occupations,37
E01000492,Brent 030C,8,"8. Process, plant and machine operatives",14
E01000492,Brent 030C,9,9. Elementary occupations,43
E01000493,Brent 030D,-8,Does not apply,796
E01000493,Brent 030D,1,"1. Managers, directors and senior officials",165
E01000493,Brent 030D,2,2. Professional occupations,208
E01000493,Brent 030D,3,3. Associate professional and technical occupations,141
E01000493,Brent 030D,4,4. Administrative and secretarial occupations,86
E01000493,Brent 030D,5,5. Skilled trades occupations,45
E01000493,Brent 030D,6,"6. Caring, leisure and other service occupations",52
E01000493,Brent 030D,7,7. Sales and customer service occupations,33
E01000493,Brent 030D,8,"8. Process, plant and machine operatives",20
E01000493,Brent 030D,9,9. Elementary occupations,53
E01000494,Brent 023B,-8,Does not apply,967
E01000494,Brent 023B,1,"1. Managers, directors and senior officials",157
E01000494,Brent 023B,2,2. Professional occupations,219
E01000494,Brent 023B,3,3. Associate professional and technical occupations,126
E01000494,Brent 023B,4,4. Administrative and secretarial occupations,62
E01000494,Brent 023B,5,5. Skilled trades occupations,52
E01000494,Brent 023B,6,"6. Caring, leisure and other service occupations",42
E01000494,Brent 023B,7,7. Sales and customer service occupations,33
E01000494,Brent 023B,8,"8. Process, plant and machine operatives",32
E01000494,Brent 023B,9,9. Elementary occupations,68
E01000495,Brent 023C,-8,Does not apply,787
E01000495,Brent 023C,1,"1. Managers, directors and senior officials",123
E01000495,Brent 023C,2,2. Professional occupations,214
E01000495,Brent 023C,3,3. Associate professional and technical occupations,153
E01000495,Brent 023C,4,4. Administrative and secretarial occupations,70
E01000495,Brent 023C,5,5. Skilled trades occupations,53
E01000495,Brent 023C,6,"6. Caring, leisure and other service occupations",55
E01000495,Brent 023C,7,7. Sales and customer service occupations,38
E01000495,Brent 023C,8,"8. Process, plant and machine operatives",31
E01000495,Brent 023C,9,9. Elementary occupations,69
E01000497,Brent 011A,-8,Does not apply,1076
E01000497,Brent 011A,1,"1. Managers, directors and senior officials",115
E01000497,Brent 011A,2,2. Professional occupations,161
E01000497,Brent 011A,3,3. Associate professional and technical occupations,107
E01000497,Brent 011A,4,4. Administrative and secretarial occupations,96
E01000497,Brent 011A,5,5. Skilled trades occupations,85
E01000497,Brent 011A,6,"6. Caring, leisure and other service occupations",146
E01000497,Brent 011A,7,7. Sales and customer service occupations,75
E01000497,Brent 011A,8,"8. Process, plant and machine operatives",70
E01000497,Brent 011A,9,9. Elementary occupations,138
E01000498,Brent 010B,-8,Does not apply,1061
E01000498,Brent 010B,1,"1. Managers, directors and senior officials",43
E01000498,Brent 010B,2,2. Professional occupations,73
E01000498,Brent 010B,3,3. Associate professional and technical occupations,43
E01000498,Brent 010B,4,4. Administrative and secretarial occupations,48
E01000498,Brent 010B,5,5. Skilled trades occupations,83
E01000498,Brent 010B,6,"6. Caring, leisure and other service occupations",65
E01000498,Brent 010B,7,7. Sales and customer service occupations,61
E01000498,Brent 010B,8,"8. Process, plant and machine operatives",87
E01000498,Brent 010B,9,9. Elementary occupations,120
E01000499,Brent 011B,-8,Does not apply,1141
E01000499,Brent 011B,1,"1. Managers, directors and senior officials",62
E01000499,Brent 011B,2,2. Professional occupations,101
E01000499,Brent 011B,3,3. Associate professional and technical occupations,79
E01000499,Brent 011B,4,4. Administrative and secretarial occupations,68
E01000499,Brent 011B,5,5. Skilled trades occupations,79
E01000499,Brent 011B,6,"6. Caring, leisure and other service occupations",90
E01000499,Brent 011B,7,7. Sales and customer service occupations,95
E01000499,Brent 011B,8,"8. Process, plant and machine operatives",69
E01000499,Brent 011B,9,9. Elementary occupations,112
E01000501,Brent 011C,-8,Does not apply,1180
E01000501,Brent 011C,1,"1. Managers, directors and senior officials",91
E01000501,Brent 011C,2,2. Professional occupations,152
E01000501,Brent 011C,3,3. Associate professional and technical occupations,85
E01000501,Brent 011C,4,4. Administrative and secretarial occupations,63
E01000501,Brent 011C,5,5. Skilled trades occupations,75
E01000501,Brent 011C,6,"6. Caring, leisure and other service occupations",97
E01000501,Brent 011C,7,7. Sales and customer service occupations,90
E01000501,Brent 011C,8,"8. Process, plant and machine operatives",66
E01000501,Brent 011C,9,9. Elementary occupations,132
E01000502,Brent 011D,-8,Does not apply,1152
E01000502,Brent 011D,1,"1. Managers, directors and senior officials",118
E01000502,Brent 011D,2,2. Professional occupations,124
E01000502,Brent 011D,3,3. Associate professional and technical occupations,77
E01000502,Brent 011D,4,4. Administrative and secretarial occupations,66
E01000502,Brent 011D,5,5. Skilled trades occupations,79
E01000502,Brent 011D,6,"6. Caring, leisure and other service occupations",73
E01000502,Brent 011D,7,7. Sales and customer service occupations,73
E01000502,Brent 011D,8,"8. Process, plant and machine operatives",59
E01000502,Brent 011D,9,9. Elementary occupations,61
E01000503,Brent 011E,-8,Does not apply,1168
E01000503,Brent 011E,1,"1. Managers, directors and senior officials",107
E01000503,Brent 011E,2,2. Professional occupations,177
E01000503,Brent 011E,3,3. Associate professional and technical occupations,103
E01000503,Brent 011E,4,4. Administrative and secretarial occupations,84
E01000503,Brent 011E,5,5. Skilled trades occupations,107
E01000503,Brent 011E,6,"6. Caring, leisure and other service occupations",77
E01000503,Brent 011E,7,7. Sales and customer service occupations,67
E01000503,Brent 011E,8,"8. Process, plant and machine operatives",87
E01000503,Brent 011E,9,9. Elementary occupations,115
E01000504,Brent 018A,-8,Does not apply,862
E01000504,Brent 018A,1,"1. Managers, directors and senior officials",135
E01000504,Brent 018A,2,2. Professional occupations,280
E01000504,Brent 018A,3,3. Associate professional and technical occupations,151
E01000504,Brent 018A,4,4. Administrative and secretarial occupations,51
E01000504,Brent 018A,5,5. Skilled trades occupations,72
E01000504,Brent 018A,6,"6. Caring, leisure and other service occupations",72
E01000504,Brent 018A,7,7. Sales and customer service occupations,59
E01000504,Brent 018A,8,"8. Process, plant and machine operatives",33
E01000504,Brent 018A,9,9. Elementary occupations,84
E01000505,Brent 018B,-8,Does not apply,968
E01000505,Brent 018B,1,"1. Managers, directors and senior officials",74
E01000505,Brent 018B,2,2. Professional occupations,165
E01000505,Brent 018B,3,3. Associate professional and technical occupations,118
E01000505,Brent 018B,4,4. Administrative and secretarial occupations,64
E01000505,Brent 018B,5,5. Skilled trades occupations,66
E01000505,Brent 018B,6,"6. Caring, leisure and other service occupations",54
E01000505,Brent 018B,7,7. Sales and customer service occupations,56
E01000505,Brent 018B,8,"8. Process, plant and machine operatives",42
E01000505,Brent 018B,9,9. Elementary occupations,68
E01000506,Brent 014A,-8,Does not apply,877
E01000506,Brent 014A,1,"1. Managers, directors and senior officials",59
E01000506,Brent 014A,2,2. Professional occupations,95
E01000506,Brent 014A,3,3. Associate professional and technical occupations,79
E01000506,Brent 014A,4,4. Administrative and secretarial occupations,58
E01000506,Brent 014A,5,5. Skilled trades occupations,100
E01000506,Brent 014A,6,"6. Caring, leisure and other service occupations",96
E01000506,Brent 014A,7,7. Sales and customer service occupations,75
E01000506,Brent 014A,8,"8. Process, plant and machine operatives",61
E01000506,Brent 014A,9,9. Elementary occupations,161
E01000507,Brent 018C,-8,Does not apply,854
E01000507,Brent 018C,1,"1. Managers, directors and senior officials",103
E01000507,Brent 018C,2,2. Professional occupations,167
E01000507,Brent 018C,3,3. Associate professional and technical occupations,99
E01000507,Brent 018C,4,4. Administrative and secretarial occupations,50
E01000507,Brent 018C,5,5. Skilled trades occupations,70
E01000507,Brent 018C,6,"6. Caring, leisure and other service occupations",76
E01000507,Brent 018C,7,7. Sales and customer service occupations,55
E01000507,Brent 018C,8,"8. Process, plant and machine operatives",61
E01000507,Brent 018C,9,9. Elementary occupations,80
E01000508,Brent 025A,-8,Does not apply,1691
E01000508,Brent 025A,1,"1. Managers, directors and senior officials",74
E01000508,Brent 025A,2,2. Professional occupations,139
E01000508,Brent 025A,3,3. Associate professional and technical occupations,103
E01000508,Brent 025A,4,4. Administrative and secretarial occupations,76
E01000508,Brent 025A,5,5. Skilled trades occupations,100
E01000508,Brent 025A,6,"6. Caring, leisure and other service occupations",98
E01000508,Brent 025A,7,7. Sales and customer service occupations,78
E01000508,Brent 025A,8,"8. Process, plant and machine operatives",120
E01000508,Brent 025A,9,9. Elementary occupations,136
E01000509,Brent 014B,-8,Does not apply,843
E01000509,Brent 014B,1,"1. Managers, directors and senior officials",53
E01000509,Brent 014B,2,2. Professional occupations,81
E01000509,Brent 014B,3,3. Associate professional and technical occupations,42
E01000509,Brent 014B,4,4. Administrative and secretarial occupations,50
E01000509,Brent 014B,5,5. Skilled trades occupations,101
E01000509,Brent 014B,6,"6. Caring, leisure and other service occupations",51
E01000509,Brent 014B,7,7. Sales and customer service occupations,47
E01000509,Brent 014B,8,"8. Process, plant and machine operatives",61
E01000509,Brent 014B,9,9. Elementary occupations,107
E01000510,Brent 014C,-8,Does not apply,986
E01000510,Brent 014C,1,"1. Managers, directors and senior officials",78
E01000510,Brent 014C,2,2. Professional occupations,100
E01000510,Brent 014C,3,3. Associate professional and technical occupations,46
E01000510,Brent 014C,4,4. Administrative and secretarial occupations,50
E01000510,Brent 014C,5,5. Skilled trades occupations,110
E01000510,Brent 014C,6,"6. Caring, leisure and other service occupations",64
E01000510,Brent 014C,7,7. Sales and customer service occupations,56
E01000510,Brent 014C,8,"8. Process, plant and machine operatives",67
E01000510,Brent 014C,9,9. Elementary occupations,114
E01000511,Brent 014D,-8,Does not apply,1033
E01000511,Brent 014D,1,"1. Managers, directors and senior officials",96
E01000511,Brent 014D,2,2. Professional occupations,118
E01000511,Brent 014D,3,3. Associate professional and technical occupations,61
E01000511,Brent 014D,4,4. Administrative and secretarial occupations,48
E01000511,Brent 014D,5,5. Skilled trades occupations,97
E01000511,Brent 014D,6,"6. Caring, leisure and other service occupations",76
E01000511,Brent 014D,7,7. Sales and customer service occupations,108
E01000511,Brent 014D,8,"8. Process, plant and machine operatives",50
E01000511,Brent 014D,9,9. Elementary occupations,84
E01000512,Brent 018D,-8,Does not apply,904
E01000512,Brent 018D,1,"1. Managers, directors and senior officials",113
E01000512,Brent 018D,2,2. Professional occupations,215
E01000512,Brent 018D,3,3. Associate professional and technical occupations,137
E01000512,Brent 018D,4,4. Administrative and secretarial occupations,43
E01000512,Brent 018D,5,5. Skilled trades occupations,77
E01000512,Brent 018D,6,"6. Caring, leisure and other service occupations",47
E01000512,Brent 018D,7,7. Sales and customer service occupations,44
E01000512,Brent 018D,8,"8. Process, plant and machine operatives",33
E01000512,Brent 018D,9,9. Elementary occupations,90
E01000513,Brent 002A,-8,Does not apply,912
E01000513,Brent 002A,1,"1. Managers, directors and senior officials",104
E01000513,Brent 002A,2,2. Professional occupations,148
E01000513,Brent 002A,3,3. Associate professional and technical occupations,70
E01000513,Brent 002A,4,4. Administrative and secretarial occupations,76
E01000513,Brent 002A,5,5. Skilled trades occupations,104
E01000513,Brent 002A,6,"6. Caring, leisure and other service occupations",51
E01000513,Brent 002A,7,7. Sales and customer service occupations,64
E01000513,Brent 002A,8,"8. Process, plant and machine operatives",65
E01000513,Brent 002A,9,9. Elementary occupations,86
E01000514,Brent 002B,-8,Does not apply,782
E01000514,Brent 002B,1,"1. Managers, directors and senior officials",71
E01000514,Brent 002B,2,2. Professional occupations,137
E01000514,Brent 002B,3,3. Associate professional and technical occupations,88
E01000514,Brent 002B,4,4. Administrative and secretarial occupations,71
E01000514,Brent 002B,5,5. Skilled trades occupations,121
E01000514,Brent 002B,6,"6. Caring, leisure and other service occupations",53
E01000514,Brent 002B,7,7. Sales and customer service occupations,65
E01000514,Brent 002B,8,"8. Process, plant and machine operatives",76
E01000514,Brent 002B,9,9. Elementary occupations,106
E01000515,Brent 003A,-8,Does not apply,995
E01000515,Brent 003A,1,"1. Managers, directors and senior officials",76
E01000515,Brent 003A,2,2. Professional occupations,136
E01000515,Brent 003A,3,3. Associate professional and technical occupations,88
E01000515,Brent 003A,4,4. Administrative and secretarial occupations,86
E01000515,Brent 003A,5,5. Skilled trades occupations,106
E01000515,Brent 003A,6,"6. Caring, leisure and other service occupations",98
E01000515,Brent 003A,7,7. Sales and customer service occupations,86
E01000515,Brent 003A,8,"8. Process, plant and machine operatives",67
E01000515,Brent 003A,9,9. Elementary occupations,136
E01000516,Brent 002C,-8,Does not apply,1145
E01000516,Brent 002C,1,"1. Managers, directors and senior officials",149
E01000516,Brent 002C,2,2. Professional occupations,249
E01000516,Brent 002C,3,3. Associate professional and technical occupations,113
E01000516,Brent 002C,4,4. Administrative and secretarial occupations,101
E01000516,Brent 002C,5,5. Skilled trades occupations,183
E01000516,Brent 002C,6,"6. Caring, leisure and other service occupations",63
E01000516,Brent 002C,7,7. Sales and customer service occupations,86
E01000516,Brent 002C,8,"8. Process, plant and machine operatives",89
E01000516,Brent 002C,9,9. Elementary occupations,169
E01000517,Brent 003B,-8,Does not apply,856
E01000517,Brent 003B,1,"1. Managers, directors and senior officials",94
E01000517,Brent 003B,2,2. Professional occupations,183
E01000517,Brent 003B,3,3. Associate professional and technical occupations,78
E01000517,Brent 003B,4,4. Administrative and secretarial occupations,73
E01000517,Brent 003B,5,5. Skilled trades occupations,112
E01000517,Brent 003B,6,"6. Caring, leisure and other service occupations",34
E01000517,Brent 003B,7,7. Sales and customer service occupations,59
E01000517,Brent 003B,8,"8. Process, plant and machine operatives",49
E01000517,Brent 003B,9,9. Elementary occupations,86
E01000518,Brent 005A,-8,Does not apply,994
E01000518,Brent 005A,1,"1. Managers, directors and senior officials",89
E01000518,Brent 005A,2,2. Professional occupations,139
E01000518,Brent 005A,3,3. Associate professional and technical occupations,64
E01000518,Brent 005A,4,4. Administrative and secretarial occupations,82
E01000518,Brent 005A,5,5. Skilled trades occupations,140
E01000518,Brent 005A,6,"6. Caring, leisure and other service occupations",94
E01000518,Brent 005A,7,7. Sales and customer service occupations,83
E01000518,Brent 005A,8,"8. Process, plant and machine operatives",110
E01000518,Brent 005A,9,9. Elementary occupations,120
E01000519,Brent 005B,-8,Does not apply,1056
E01000519,Brent 005B,1,"1. Managers, directors and senior officials",107
E01000519,Brent 005B,2,2. Professional occupations,122
E01000519,Brent 005B,3,3. Associate professional and technical occupations,90
E01000519,Brent 005B,4,4. Administrative and secretarial occupations,79
E01000519,Brent 005B,5,5. Skilled trades occupations,147
E01000519,Brent 005B,6,"6. Caring, leisure and other service occupations",111
E01000519,Brent 005B,7,7. Sales and customer service occupations,77
E01000519,Brent 005B,8,"8. Process, plant and machine operatives",75
E01000519,Brent 005B,9,9. Elementary occupations,151
E01000520,Brent 002D,-8,Does not apply,937
E01000520,Brent 002D,1,"1. Managers, directors and senior officials",72
E01000520,Brent 002D,2,2. Professional occupations,129
E01000520,Brent 002D,3,3. Associate professional and technical occupations,83
E01000520,Brent 002D,4,4. Administrative and secretarial occupations,63
E01000520,Brent 002D,5,5. Skilled trades occupations,109
E01000520,Brent 002D,6,"6. Caring, leisure and other service occupations",56
E01000520,Brent 002D,7,7. Sales and customer service occupations,66
E01000520,Brent 002D,8,"8. Process, plant and machine operatives",79
E01000520,Brent 002D,9,9. Elementary occupations,82
E01000521,Brent 025B,-8,Does not apply,1353
E01000521,Brent 025B,1,"1. Managers, directors and senior officials",59
E01000521,Brent 025B,2,2. Professional occupations,99
E01000521,Brent 025B,3,3. Associate professional and technical occupations,105
E01000521,Brent 025B,4,4. Administrative and secretarial occupations,58
E01000521,Brent 025B,5,5. Skilled trades occupations,83
E01000521,Brent 025B,6,"6. Caring, leisure and other service occupations",111
E01000521,Brent 025B,7,7. Sales and customer service occupations,97
E01000521,Brent 025B,8,"8. Process, plant and machine operatives",101
E01000521,Brent 025B,9,9. Elementary occupations,208
E01000522,Brent 025C,-8,Does not apply,1211
E01000522,Brent 025C,1,"1. Managers, directors and senior officials",73
E01000522,Brent 025C,2,2. Professional occupations,105
E01000522,Brent 025C,3,3. Associate professional and technical occupations,87
E01000522,Brent 025C,4,4. Administrative and secretarial occupations,85
E01000522,Brent 025C,5,5. Skilled trades occupations,105
E01000522,Brent 025C,6,"6. Caring, leisure and other service occupations",83
E01000522,Brent 025C,7,7. Sales and customer service occupations,78
E01000522,Brent 025C,8,"8. Process, plant and machine operatives",92
E01000522,Brent 025C,9,9. Elementary occupations,129
E01000523,Brent 031A,-8,Does not apply,1275
E01000523,Brent 031A,1,"1. Managers, directors and senior officials",91
E01000523,Brent 031A,2,2. Professional occupations,137
E01000523,Brent 031A,3,3. Associate professional and technical occupations,138
E01000523,Brent 031A,4,4. Administrative and secretarial occupations,88
E01000523,Brent 031A,5,5. Skilled trades occupations,96
E01000523,Brent 031A,6,"6. Caring, leisure and other service occupations",148
E01000523,Brent 031A,7,7. Sales and customer service occupations,72
E01000523,Brent 031A,8,"8. Process, plant and machine operatives",71
E01000523,Brent 031A,9,9. Elementary occupations,183
E01000524,Brent 031B,-8,Does not apply,1362
E01000524,Brent 031B,1,"1. Managers, directors and senior officials",76
E01000524,Brent 031B,2,2. Professional occupations,153
E01000524,Brent 031B,3,3. Associate professional and technical occupations,114
E01000524,Brent 031B,4,4. Administrative and secretarial occupations,99
E01000524,Brent 031B,5,5. Skilled trades occupations,85
E01000524,Brent 031B,6,"6. Caring, leisure and other service occupations",159
E01000524,Brent 031B,7,7. Sales and customer service occupations,84
E01000524,Brent 031B,8,"8. Process, plant and machine operatives",96
E01000524,Brent 031B,9,9. Elementary occupations,195
E01000525,Brent 031C,-8,Does not apply,998
E01000525,Brent 031C,1,"1. Managers, directors and senior officials",77
E01000525,Brent 031C,2,2. Professional occupations,129
E01000525,Brent 031C,3,3. Associate professional and technical occupations,99
E01000525,Brent 031C,4,4. Administrative and secretarial occupations,85
E01000525,Brent 031C,5,5. Skilled trades occupations,78
E01000525,Brent 031C,6,"6. Caring, leisure and other service occupations",113
E01000525,Brent 031C,7,7. Sales and customer service occupations,71
E01000525,Brent 031C,8,"8. Process, plant and machine operatives",72
E01000525,Brent 031C,9,9. Elementary occupations,132
E01000526,Brent 025D,-8,Does not apply,1342
E01000526,Brent 025D,1,"1. Managers, directors and senior officials",43
E01000526,Brent 025D,2,2. Professional occupations,106
E01000526,Brent 025D,3,3. Associate professional and technical occupations,96
E01000526,Brent 025D,4,4. Administrative and secretarial occupations,88
E01000526,Brent 025D,5,5. Skilled trades occupations,76
E01000526,Brent 025D,6,"6. Caring, leisure and other service occupations",130
E01000526,Brent 025D,7,7. Sales and customer service occupations,89
E01000526,Brent 025D,8,"8. Process, plant and machine operatives",85
E01000526,Brent 025D,9,9. Elementary occupations,142
E01000527,Brent 025E,-8,Does not apply,1149
E01000527,Brent 025E,1,"1. Managers, directors and senior officials",68
E01000527,Brent 025E,2,2. Professional occupations,93
E01000527,Brent 025E,3,3. Associate professional and technical occupations,79
E01000527,Brent 025E,4,4. Administrative and secretarial occupations,70
E01000527,Brent 025E,5,5. Skilled trades occupations,59
E01000527,Brent 025E,6,"6. Caring, leisure and other service occupations",110
E01000527,Brent 025E,7,7. Sales and customer service occupations,50
E01000527,Brent 025E,8,"8. Process, plant and machine operatives",73
E01000527,Brent 025E,9,9. Elementary occupations,125
E01000528,Brent 025F,-8,Does not apply,969
E01000528,Brent 025F,1,"1. Managers, directors and senior officials",72
E01000528,Brent 025F,2,2. Professional occupations,141
E01000528,Brent 025F,3,3. Associate professional and technical occupations,94
E01000528,Brent 025F,4,4. Administrative and secretarial occupations,64
E01000528,Brent 025F,5,5. Skilled trades occupations,62
E01000528,Brent 025F,6,"6. Caring, leisure and other service occupations",112
E01000528,Brent 025F,7,7. Sales and customer service occupations,56
E01000528,Brent 025F,8,"8. Process, plant and machine operatives",67
E01000528,Brent 025F,9,9. Elementary occupations,89
E01000530,Brent 033A,-8,Does not apply,875
E01000530,Brent 033A,1,"1. Managers, directors and senior officials",154
E01000530,Brent 033A,2,2. Professional occupations,250
E01000530,Brent 033A,3,3. Associate professional and technical occupations,193
E01000530,Brent 033A,4,4. Administrative and secretarial occupations,69
E01000530,Brent 033A,5,5. Skilled trades occupations,63
E01000530,Brent 033A,6,"6. Caring, leisure and other service occupations",61
E01000530,Brent 033A,7,7. Sales and customer service occupations,48
E01000530,Brent 033A,8,"8. Process, plant and machine operatives",45
E01000530,Brent 033A,9,9. Elementary occupations,62
E01000531,Brent 033B,-8,Does not apply,934
E01000531,Brent 033B,1,"1. Managers, directors and senior officials",116
E01000531,Brent 033B,2,2. Professional occupations,186
E01000531,Brent 033B,3,3. Associate professional and technical occupations,174
E01000531,Brent 033B,4,4. Administrative and secretarial occupations,58
E01000531,Brent 033B,5,5. Skilled trades occupations,53
E01000531,Brent 033B,6,"6. Caring, leisure and other service occupations",79
E01000531,Brent 033B,7,7. Sales and customer service occupations,50
E01000531,Brent 033B,8,"8. Process, plant and machine operatives",46
E01000531,Brent 033B,9,9. Elementary occupations,103
E01000532,Brent 033C,-8,Does not apply,675
E01000532,Brent 033C,1,"1. Managers, directors and senior officials",119
E01000532,Brent 033C,2,2. Professional occupations,237
E01000532,Brent 033C,3,3. Associate professional and technical occupations,139
E01000532,Brent 033C,4,4. Administrative and secretarial occupations,89
E01000532,Brent 033C,5,5. Skilled trades occupations,49
E01000532,Brent 033C,6,"6. Caring, leisure and other service occupations",67
E01000532,Brent 033C,7,7. Sales and customer service occupations,42
E01000532,Brent 033C,8,"8. Process, plant and machine operatives",37
E01000532,Brent 033C,9,9. Elementary occupations,55
E01000533,Brent 031E,-8,Does not apply,1252
E01000533,Brent 031E,1,"1. Managers, directors and senior officials",109
E01000533,Brent 031E,2,2. Professional occupations,148
E01000533,Brent 031E,3,3. Associate professional and technical occupations,126
E01000533,Brent 031E,4,4. Administrative and secretarial occupations,75
E01000533,Brent 031E,5,5. Skilled trades occupations,68
E01000533,Brent 031E,6,"6. Caring, leisure and other service occupations",119
E01000533,Brent 031E,7,7. Sales and customer service occupations,71
E01000533,Brent 031E,8,"8. Process, plant and machine operatives",72
E01000533,Brent 031E,9,9. Elementary occupations,131
E01000534,Brent 033D,-8,Does not apply,812
E01000534,Brent 033D,1,"1. Managers, directors and senior officials",145
E01000534,Brent 033D,2,2. Professional occupations,227
E01000534,Brent 033D,3,3. Associate professional and technical occupations,178
E01000534,Brent 033D,4,4. Administrative and secretarial occupations,71
E01000534,Brent 033D,5,5. Skilled trades occupations,70
E01000534,Brent 033D,6,"6. Caring, leisure and other service occupations",82
E01000534,Brent 033D,7,7. Sales and customer service occupations,35
E01000534,Brent 033D,8,"8. Process, plant and machine operatives",60
E01000534,Brent 033D,9,9. Elementary occupations,69
E01000535,Brent 031F,-8,Does not apply,1002
E01000535,Brent 031F,1,"1. Managers, directors and senior officials",126
E01000535,Brent 031F,2,2. Professional occupations,207
E01000535,Brent 031F,3,3. Associate professional and technical occupations,184
E01000535,Brent 031F,4,4. Administrative and secretarial occupations,85
E01000535,Brent 031F,5,5. Skilled trades occupations,88
E01000535,Brent 031F,6,"6. Caring, leisure and other service occupations",108
E01000535,Brent 031F,7,7. Sales and customer service occupations,78
E01000535,Brent 031F,8,"8. Process, plant and machine operatives",51
E01000535,Brent 031F,9,9. Elementary occupations,126
E01000536,Brent 004A,-8,Does not apply,830
E01000536,Brent 004A,1,"1. Managers, directors and senior officials",124
E01000536,Brent 004A,2,2. Professional occupations,237
E01000536,Brent 004A,3,3. Associate professional and technical occupations,82
E01000536,Brent 004A,4,4. Administrative and secretarial occupations,110
E01000536,Brent 004A,5,5. Skilled trades occupations,32
E01000536,Brent 004A,6,"6. Caring, leisure and other service occupations",40
E01000536,Brent 004A,7,7. Sales and customer service occupations,41
E01000536,Brent 004A,8,"8. Process, plant and machine operatives",18
E01000536,Brent 004A,9,9. Elementary occupations,49
E01000538,Brent 004B,-8,Does not apply,871
E01000538,Brent 004B,1,"1. Managers, directors and senior officials",130
E01000538,Brent 004B,2,2. Professional occupations,252
E01000538,Brent 004B,3,3. Associate professional and technical occupations,85
E01000538,Brent 004B,4,4. Administrative and secretarial occupations,88
E01000538,Brent 004B,5,5. Skilled trades occupations,58
E01000538,Brent 004B,6,"6. Caring, leisure and other service occupations",23
E01000538,Brent 004B,7,7. Sales and customer service occupations,44
E01000538,Brent 004B,8,"8. Process, plant and machine operatives",30
E01000538,Brent 004B,9,9. Elementary occupations,39
E01000539,Brent 004C,-8,Does not apply,828
E01000539,Brent 004C,1,"1. Managers, directors and senior officials",118
E01000539,Brent 004C,2,2. Professional occupations,218
E01000539,Brent 004C,3,3. Associate professional and technical occupations,89
E01000539,Brent 004C,4,4. Administrative and secretarial occupations,81
E01000539,Brent 004C,5,5. Skilled trades occupations,76
E01000539,Brent 004C,6,"6. Caring, leisure and other service occupations",36
E01000539,Brent 004C,7,7. Sales and customer service occupations,42
E01000539,Brent 004C,8,"8. Process, plant and machine operatives",35
E01000539,Brent 004C,9,9. Elementary occupations,58
E01000540,Brent 004D,-8,Does not apply,721
E01000540,Brent 004D,1,"1. Managers, directors and senior officials",120
E01000540,Brent 004D,2,2. Professional occupations,235
E01000540,Brent 004D,3,3. Associate professional and technical occupations,78
E01000540,Brent 004D,4,4. Administrative and secretarial occupations,74
E01000540,Brent 004D,5,5. Skilled trades occupations,46
E01000540,Brent 004D,6,"6. Caring, leisure and other service occupations",56
E01000540,Brent 004D,7,7. Sales and customer service occupations,47
E01000540,Brent 004D,8,"8. Process, plant and machine operatives",27
E01000540,Brent 004D,9,9. Elementary occupations,54
E01000541,Brent 004E,-8,Does not apply,705
E01000541,Brent 004E,1,"1. Managers, directors and senior officials",80
E01000541,Brent 004E,2,2. Professional occupations,132
E01000541,Brent 004E,3,3. Associate professional and technical occupations,58
E01000541,Brent 004E,4,4. Administrative and secretarial occupations,79
E01000541,Brent 004E,5,5. Skilled trades occupations,105
E01000541,Brent 004E,6,"6. Caring, leisure and other service occupations",62
E01000541,Brent 004E,7,7. Sales and customer service occupations,55
E01000541,Brent 004E,8,"8. Process, plant and machine operatives",58
