	lsoa11cd,imd_rank,imd_dec
E01000322,19048,6
E01000323,15389,5
E01000324,20202,7
E01000325,29599,10
E01000326,22206,7
E01000327,27457,9
E01000328,22853,7
E01000329,18060,6
E01000330,16254,5
E01000331,8888,3
E01000332,17857,6
E01000333,10270,4
E01000334,21066,7
E01000335,7186,3
E01000336,7373,3
E01000337,14747,5
E01000338,15333,5
E01000339,17653,6
E01000340,21230,7
E01000341,25941,8
E01000342,25891,8
E01000343,26633,9
E01000344,29332,9
E01000345,29145,9
E01000346,24927,8
E01000347,23128,8
E01000348,30525,10
E01000349,27736,9
E01000350,27197,9
E01000351,27580,9
E01000352,19159,6
E01000353,30316,10
E01000354,13302,5
E01000355,26842,9
E01000356,27128,9
E01000357,31429,10
E01000358,29282,9
E01000359,29254,9
E01000360,15534,5
E01000361,23027,8
E01000362,21457,7
E01000363,25379,8
E01000364,21389,7
E01000365,19555,6
E01000366,24683,8
E01000367,7599,3
E01000368,6298,2
E01000369,19297,6
E01000370,22899,7
E01000371,26858,9
E01000372,8063,3
E01000373,8331,3
E01000374,3624,2
E01000375,15879,5
E01000376,17727,6
E01000377,21848,7
E01000378,13369,5
E01000379,15579,5
E01000380,11840,4
E01000381,9141,3
E01000382,28932,9
E01000383,13501,5
E01000384,22083,7
E01000385,6958,3
E01000386,3835,2
E01000387,21777,7
E01000388,23585,8
E01000389,23070,8
E01000390,24292,8
E01000391,20043,7
E01000392,12119,4
E01000393,25584,8
E01000394,25359,8
E01000395,30471,10
E01000396,26986,9
E01000398,14343,5
E01000399,25650,8
E01000400,19222,6
E01000401,13478,5
E01000402,11661,4
E01000403,8247,3
E01000404,7988,3
E01000405,8556,3
E01000406,11865,4
E01000407,19290,6
E01000408,11511,4
E01000409,29535,9
E01000410,27698,9
E01000411,24984,8
E01000412,26294,9
E01000413,23374,8
E01000414,20333,7
E01000415,29162,9
E01000416,10611,4
E01000417,14752,5
E01000418,15526,5
E01000419,26164,8
E01000420,23155,8
E01000421,28043,9
E01000422,5556,2
E01000423,29890,10
E01000424,28573,9
E01000425,28921,9
E01000426,24090,8
E01000427,21182,7
E01000428,11429,4
E01000429,3591,2
E01000430,17477,6
E01000431,5493,2
E01000432,11135,4
E01000433,5702,2
E01000434,4809,2
E01000435,7461,3
E01000436,30492,10
E01000437,20296,7
E01000438,19919,7
E01000439,11510,4
E01000440,27367,9
E01000441,8484,3
E01000442,20054,7
E01000443,15949,5
E01000444,28530,9
E01000445,29687,10
E01000446,29153,9
E01000447,24076,8
E01000448,32132,10
E01000449,30072,10
E01000450,16089,5
E01000451,27695,9
E01000452,27715,9
E01000453,27021,9
E01000454,15605,5
E01000455,26845,9
E01000456,29319,9
E01000457,22056,7
E01000458,29877,10
E01000459,19511,6
E01000460,30405,10
E01000461,28207,9
E01000462,19613,6
E01000463,30387,10
E01000464,10479,4
E01000465,8670,3
E01000466,11745,4
E01000467,15630,5
