Lower layer Super Output Areas Code,Lower layer Super Output Areas,Age (5 categories) Code,Age (5 categories),Observation
E01000001,City of London 001A,1,Aged 15 years and under,125
E01000001,City of London 001A,2,Aged 16 to 24 years,110
E01000001,City of London 001A,3,Aged 25 to 34 years,291
E01000001,City of London 001A,4,Aged 35 to 49 years,336
E01000001,City of London 001A,5,Aged 50 years and over,616
E01000002,City of London 001B,1,Aged 15 years and under,86
E01000002,City of London 001B,2,Aged 16 to 24 years,123
E01000002,City of London 001B,3,Aged 25 to 34 years,300
E01000002,City of London 001B,4,Aged 35 to 49 years,301
E01000002,City of London 001B,5,Aged 50 years and over,574
E01000003,City of London 001C,1,Aged 15 years and under,110
E01000003,City of London 001C,2,Aged 16 to 24 years,114
E01000003,City of London 001C,3,Aged 25 to 34 years,353
E01000003,City of London 001C,4,Aged 35 to 49 years,368
E01000003,City of London 001C,5,Aged 50 years and over,669
E01000005,City of London 001E,1,Aged 15 years and under,139
E01000005,City of London 001E,2,Aged 16 to 24 years,195
E01000005,City of London 001E,3,Aged 25 to 34 years,216
E01000005,City of London 001E,4,Aged 35 to 49 years,208
E01000005,City of London 001E,5,Aged 50 years and over,340
E01000006,Barking and Dagenham 016A,1,Aged 15 years and under,414
E01000006,Barking and Dagenham 016A,2,Aged 16 to 24 years,222
E01000006,Barking and Dagenham 016A,3,Aged 25 to 34 years,305
E01000006,Barking and Dagenham 016A,4,Aged 35 to 49 years,471
E01000006,Barking and Dagenham 016A,5,Aged 50 years and over,434
E01000007,Barking and Dagenham 015A,1,Aged 15 years and under,748
E01000007,Barking and Dagenham 015A,2,Aged 16 to 24 years,298
E01000007,Barking and Dagenham 015A,3,Aged 25 to 34 years,678
E01000007,Barking and Dagenham 015A,4,Aged 35 to 49 years,792
E01000007,Barking and Dagenham 015A,5,Aged 50 years and over,391
E01000008,Barking and Dagenham 015B,1,Aged 15 years and under,537
E01000008,Barking and Dagenham 015B,2,Aged 16 to 24 years,267
E01000008,Barking and Dagenham 015B,3,Aged 25 to 34 years,247
E01000008,Barking and Dagenham 015B,4,Aged 35 to 49 years,396
E01000008,Barking and Dagenham 015B,5,Aged 50 years and over,348
E01000009,Barking and Dagenham 016B,1,Aged 15 years and under,396
E01000009,Barking and Dagenham 016B,2,Aged 16 to 24 years,186
E01000009,Barking and Dagenham 016B,3,Aged 25 to 34 years,321
E01000009,Barking and Dagenham 016B,4,Aged 35 to 49 years,466
E01000009,Barking and Dagenham 016B,5,Aged 50 years and over,435
E01000011,Barking and Dagenham 016C,1,Aged 15 years and under,382
E01000011,Barking and Dagenham 016C,2,Aged 16 to 24 years,222
E01000011,Barking and Dagenham 016C,3,Aged 25 to 34 years,291
E01000011,Barking and Dagenham 016C,4,Aged 35 to 49 years,440
E01000011,Barking and Dagenham 016C,5,Aged 50 years and over,366
E01000012,Barking and Dagenham 015D,1,Aged 15 years and under,769
E01000012,Barking and Dagenham 015D,2,Aged 16 to 24 years,246
E01000012,Barking and Dagenham 015D,3,Aged 25 to 34 years,387
E01000012,Barking and Dagenham 015D,4,Aged 35 to 49 years,578
E01000012,Barking and Dagenham 015D,5,Aged 50 years and over,367
E01000013,Barking and Dagenham 013A,1,Aged 15 years and under,473
E01000013,Barking and Dagenham 013A,2,Aged 16 to 24 years,203
E01000013,Barking and Dagenham 013A,3,Aged 25 to 34 years,285
E01000013,Barking and Dagenham 013A,4,Aged 35 to 49 years,439
E01000013,Barking and Dagenham 013A,5,Aged 50 years and over,470
E01000014,Barking and Dagenham 013B,1,Aged 15 years and under,430
E01000014,Barking and Dagenham 013B,2,Aged 16 to 24 years,191
E01000014,Barking and Dagenham 013B,3,Aged 25 to 34 years,270
E01000014,Barking and Dagenham 013B,4,Aged 35 to 49 years,406
E01000014,Barking and Dagenham 013B,5,Aged 50 years and over,455
E01000015,Barking and Dagenham 009A,1,Aged 15 years and under,684
E01000015,Barking and Dagenham 009A,2,Aged 16 to 24 years,269
E01000015,Barking and Dagenham 009A,3,Aged 25 to 34 years,373
E01000015,Barking and Dagenham 009A,4,Aged 35 to 49 years,544
E01000015,Barking and Dagenham 009A,5,Aged 50 years and over,550
E01000016,Barking and Dagenham 009B,1,Aged 15 years and under,451
E01000016,Barking and Dagenham 009B,2,Aged 16 to 24 years,221
E01000016,Barking and Dagenham 009B,3,Aged 25 to 34 years,282
E01000016,Barking and Dagenham 009B,4,Aged 35 to 49 years,409
E01000016,Barking and Dagenham 009B,5,Aged 50 years and over,488
E01000017,Barking and Dagenham 009C,1,Aged 15 years and under,421
E01000017,Barking and Dagenham 009C,2,Aged 16 to 24 years,198
E01000017,Barking and Dagenham 009C,3,Aged 25 to 34 years,232
E01000017,Barking and Dagenham 009C,4,Aged 35 to 49 years,372
E01000017,Barking and Dagenham 009C,5,Aged 50 years and over,501
E01000018,Barking and Dagenham 009D,1,Aged 15 years and under,421
E01000018,Barking and Dagenham 009D,2,Aged 16 to 24 years,205
E01000018,Barking and Dagenham 009D,3,Aged 25 to 34 years,258
E01000018,Barking and Dagenham 009D,4,Aged 35 to 49 years,428
E01000018,Barking and Dagenham 009D,5,Aged 50 years and over,461
E01000019,Barking and Dagenham 023A,1,Aged 15 years and under,481
E01000019,Barking and Dagenham 023A,2,Aged 16 to 24 years,167
E01000019,Barking and Dagenham 023A,3,Aged 25 to 34 years,224
E01000019,Barking and Dagenham 023A,4,Aged 35 to 49 years,389
E01000019,Barking and Dagenham 023A,5,Aged 50 years and over,395
E01000020,Barking and Dagenham 023B,1,Aged 15 years and under,584
E01000020,Barking and Dagenham 023B,2,Aged 16 to 24 years,270
E01000020,Barking and Dagenham 023B,3,Aged 25 to 34 years,285
E01000020,Barking and Dagenham 023B,4,Aged 35 to 49 years,491
E01000020,Barking and Dagenham 023B,5,Aged 50 years and over,561
E01000021,Barking and Dagenham 008A,1,Aged 15 years and under,459
E01000021,Barking and Dagenham 008A,2,Aged 16 to 24 years,194
E01000021,Barking and Dagenham 008A,3,Aged 25 to 34 years,267
E01000021,Barking and Dagenham 008A,4,Aged 35 to 49 years,384
E01000021,Barking and Dagenham 008A,5,Aged 50 years and over,389
E01000022,Barking and Dagenham 008B,1,Aged 15 years and under,385
E01000022,Barking and Dagenham 008B,2,Aged 16 to 24 years,161
E01000022,Barking and Dagenham 008B,3,Aged 25 to 34 years,206
E01000022,Barking and Dagenham 008B,4,Aged 35 to 49 years,339
E01000022,Barking and Dagenham 008B,5,Aged 50 years and over,388
E01000024,Barking and Dagenham 008D,1,Aged 15 years and under,365
E01000024,Barking and Dagenham 008D,2,Aged 16 to 24 years,192
E01000024,Barking and Dagenham 008D,3,Aged 25 to 34 years,221
E01000024,Barking and Dagenham 008D,4,Aged 35 to 49 years,337
E01000024,Barking and Dagenham 008D,5,Aged 50 years and over,371
E01000025,Barking and Dagenham 008E,1,Aged 15 years and under,473
E01000025,Barking and Dagenham 008E,2,Aged 16 to 24 years,209
E01000025,Barking and Dagenham 008E,3,Aged 25 to 34 years,260
E01000025,Barking and Dagenham 008E,4,Aged 35 to 49 years,428
E01000025,Barking and Dagenham 008E,5,Aged 50 years and over,550
E01000027,Barking and Dagenham 001A,1,Aged 15 years and under,599
E01000027,Barking and Dagenham 001A,2,Aged 16 to 24 years,243
E01000027,Barking and Dagenham 001A,3,Aged 25 to 34 years,316
E01000027,Barking and Dagenham 001A,4,Aged 35 to 49 years,423
E01000027,Barking and Dagenham 001A,5,Aged 50 years and over,500
E01000028,Barking and Dagenham 001B,1,Aged 15 years and under,468
E01000028,Barking and Dagenham 001B,2,Aged 16 to 24 years,231
E01000028,Barking and Dagenham 001B,3,Aged 25 to 34 years,252
E01000028,Barking and Dagenham 001B,4,Aged 35 to 49 years,391
E01000028,Barking and Dagenham 001B,5,Aged 50 years and over,476
E01000029,Barking and Dagenham 001C,1,Aged 15 years and under,380
E01000029,Barking and Dagenham 001C,2,Aged 16 to 24 years,187
E01000029,Barking and Dagenham 001C,3,Aged 25 to 34 years,230
E01000029,Barking and Dagenham 001C,4,Aged 35 to 49 years,384
E01000029,Barking and Dagenham 001C,5,Aged 50 years and over,639
E01000030,Barking and Dagenham 001D,1,Aged 15 years and under,849
E01000030,Barking and Dagenham 001D,2,Aged 16 to 24 years,242
E01000030,Barking and Dagenham 001D,3,Aged 25 to 34 years,386
E01000030,Barking and Dagenham 001D,4,Aged 35 to 49 years,584
E01000030,Barking and Dagenham 001D,5,Aged 50 years and over,499
E01000031,Barking and Dagenham 002A,1,Aged 15 years and under,373
E01000031,Barking and Dagenham 002A,2,Aged 16 to 24 years,221
E01000031,Barking and Dagenham 002A,3,Aged 25 to 34 years,254
E01000031,Barking and Dagenham 002A,4,Aged 35 to 49 years,372
E01000031,Barking and Dagenham 002A,5,Aged 50 years and over,550
E01000032,Barking and Dagenham 002B,1,Aged 15 years and under,492
E01000032,Barking and Dagenham 002B,2,Aged 16 to 24 years,213
E01000032,Barking and Dagenham 002B,3,Aged 25 to 34 years,318
E01000032,Barking and Dagenham 002B,4,Aged 35 to 49 years,483
E01000032,Barking and Dagenham 002B,5,Aged 50 years and over,571
E01000033,Barking and Dagenham 006A,1,Aged 15 years and under,425
E01000033,Barking and Dagenham 006A,2,Aged 16 to 24 years,152
E01000033,Barking and Dagenham 006A,3,Aged 25 to 34 years,217
E01000033,Barking and Dagenham 006A,4,Aged 35 to 49 years,325
E01000033,Barking and Dagenham 006A,5,Aged 50 years and over,425
E01000034,Barking and Dagenham 003A,1,Aged 15 years and under,309
E01000034,Barking and Dagenham 003A,2,Aged 16 to 24 years,174
E01000034,Barking and Dagenham 003A,3,Aged 25 to 34 years,231
E01000034,Barking and Dagenham 003A,4,Aged 35 to 49 years,310
E01000034,Barking and Dagenham 003A,5,Aged 50 years and over,552
E01000035,Barking and Dagenham 010A,1,Aged 15 years and under,401
E01000035,Barking and Dagenham 010A,2,Aged 16 to 24 years,220
E01000035,Barking and Dagenham 010A,3,Aged 25 to 34 years,270
E01000035,Barking and Dagenham 010A,4,Aged 35 to 49 years,409
E01000035,Barking and Dagenham 010A,5,Aged 50 years and over,558
E01000036,Barking and Dagenham 010B,1,Aged 15 years and under,310
E01000036,Barking and Dagenham 010B,2,Aged 16 to 24 years,193
E01000036,Barking and Dagenham 010B,3,Aged 25 to 34 years,222
E01000036,Barking and Dagenham 010B,4,Aged 35 to 49 years,307
E01000036,Barking and Dagenham 010B,5,Aged 50 years and over,439
E01000037,Barking and Dagenham 003B,1,Aged 15 years and under,293
E01000037,Barking and Dagenham 003B,2,Aged 16 to 24 years,197
E01000037,Barking and Dagenham 003B,3,Aged 25 to 34 years,282
E01000037,Barking and Dagenham 003B,4,Aged 35 to 49 years,342
E01000037,Barking and Dagenham 003B,5,Aged 50 years and over,583
E01000038,Barking and Dagenham 003C,1,Aged 15 years and under,329
E01000038,Barking and Dagenham 003C,2,Aged 16 to 24 years,178
E01000038,Barking and Dagenham 003C,3,Aged 25 to 34 years,226
E01000038,Barking and Dagenham 003C,4,Aged 35 to 49 years,310
E01000038,Barking and Dagenham 003C,5,Aged 50 years and over,572
E01000039,Barking and Dagenham 003D,1,Aged 15 years and under,395
E01000039,Barking and Dagenham 003D,2,Aged 16 to 24 years,178
E01000039,Barking and Dagenham 003D,3,Aged 25 to 34 years,267
E01000039,Barking and Dagenham 003D,4,Aged 35 to 49 years,367
E01000039,Barking and Dagenham 003D,5,Aged 50 years and over,545
E01000040,Barking and Dagenham 019A,1,Aged 15 years and under,472
E01000040,Barking and Dagenham 019A,2,Aged 16 to 24 years,257
E01000040,Barking and Dagenham 019A,3,Aged 25 to 34 years,238
E01000040,Barking and Dagenham 019A,4,Aged 35 to 49 years,470
E01000040,Barking and Dagenham 019A,5,Aged 50 years and over,441
E01000041,Barking and Dagenham 017A,1,Aged 15 years and under,465
E01000041,Barking and Dagenham 017A,2,Aged 16 to 24 years,204
E01000041,Barking and Dagenham 017A,3,Aged 25 to 34 years,268
E01000041,Barking and Dagenham 017A,4,Aged 35 to 49 years,437
E01000041,Barking and Dagenham 017A,5,Aged 50 years and over,467
E01000042,Barking and Dagenham 017B,1,Aged 15 years and under,557
E01000042,Barking and Dagenham 017B,2,Aged 16 to 24 years,209
E01000042,Barking and Dagenham 017B,3,Aged 25 to 34 years,265
E01000042,Barking and Dagenham 017B,4,Aged 35 to 49 years,481
E01000042,Barking and Dagenham 017B,5,Aged 50 years and over,370
E01000043,Barking and Dagenham 019B,1,Aged 15 years and under,323
E01000043,Barking and Dagenham 019B,2,Aged 16 to 24 years,231
E01000043,Barking and Dagenham 019B,3,Aged 25 to 34 years,238
E01000043,Barking and Dagenham 019B,4,Aged 35 to 49 years,318
E01000043,Barking and Dagenham 019B,5,Aged 50 years and over,428
E01000044,Barking and Dagenham 016D,1,Aged 15 years and under,482
E01000044,Barking and Dagenham 016D,2,Aged 16 to 24 years,262
E01000044,Barking and Dagenham 016D,3,Aged 25 to 34 years,307
E01000044,Barking and Dagenham 016D,4,Aged 35 to 49 years,462
E01000044,Barking and Dagenham 016D,5,Aged 50 years and over,476
E01000045,Barking and Dagenham 017C,1,Aged 15 years and under,440
E01000045,Barking and Dagenham 017C,2,Aged 16 to 24 years,193
E01000045,Barking and Dagenham 017C,3,Aged 25 to 34 years,260
E01000045,Barking and Dagenham 017C,4,Aged 35 to 49 years,401
E01000045,Barking and Dagenham 017C,5,Aged 50 years and over,428
E01000046,Barking and Dagenham 017D,1,Aged 15 years and under,504
E01000046,Barking and Dagenham 017D,2,Aged 16 to 24 years,227
E01000046,Barking and Dagenham 017D,3,Aged 25 to 34 years,297
E01000046,Barking and Dagenham 017D,4,Aged 35 to 49 years,451
E01000046,Barking and Dagenham 017D,5,Aged 50 years and over,477
E01000049,Barking and Dagenham 021C,1,Aged 15 years and under,617
E01000049,Barking and Dagenham 021C,2,Aged 16 to 24 years,312
E01000049,Barking and Dagenham 021C,3,Aged 25 to 34 years,215
E01000049,Barking and Dagenham 021C,4,Aged 35 to 49 years,515
E01000049,Barking and Dagenham 021C,5,Aged 50 years and over,314
E01000050,Barking and Dagenham 019C,1,Aged 15 years and under,473
E01000050,Barking and Dagenham 019C,2,Aged 16 to 24 years,182
E01000050,Barking and Dagenham 019C,3,Aged 25 to 34 years,317
E01000050,Barking and Dagenham 019C,4,Aged 35 to 49 years,449
E01000050,Barking and Dagenham 019C,5,Aged 50 years and over,418
E01000051,Barking and Dagenham 021D,1,Aged 15 years and under,321
E01000051,Barking and Dagenham 021D,2,Aged 16 to 24 years,89
E01000051,Barking and Dagenham 021D,3,Aged 25 to 34 years,306
E01000051,Barking and Dagenham 021D,4,Aged 35 to 49 years,265
E01000051,Barking and Dagenham 021D,5,Aged 50 years and over,126
E01000052,Barking and Dagenham 019D,1,Aged 15 years and under,665
E01000052,Barking and Dagenham 019D,2,Aged 16 to 24 years,210
E01000052,Barking and Dagenham 019D,3,Aged 25 to 34 years,358
E01000052,Barking and Dagenham 019D,4,Aged 35 to 49 years,610
E01000052,Barking and Dagenham 019D,5,Aged 50 years and over,525
E01000053,Barking and Dagenham 020A,1,Aged 15 years and under,408
E01000053,Barking and Dagenham 020A,2,Aged 16 to 24 years,150
E01000053,Barking and Dagenham 020A,3,Aged 25 to 34 years,227
E01000053,Barking and Dagenham 020A,4,Aged 35 to 49 years,359
E01000053,Barking and Dagenham 020A,5,Aged 50 years and over,476
E01000054,Barking and Dagenham 018A,1,Aged 15 years and under,501
E01000054,Barking and Dagenham 018A,2,Aged 16 to 24 years,202
E01000054,Barking and Dagenham 018A,3,Aged 25 to 34 years,251
E01000054,Barking and Dagenham 018A,4,Aged 35 to 49 years,445
E01000054,Barking and Dagenham 018A,5,Aged 50 years and over,470
E01000055,Barking and Dagenham 018B,1,Aged 15 years and under,421
E01000055,Barking and Dagenham 018B,2,Aged 16 to 24 years,216
E01000055,Barking and Dagenham 018B,3,Aged 25 to 34 years,229
E01000055,Barking and Dagenham 018B,4,Aged 35 to 49 years,365
E01000055,Barking and Dagenham 018B,5,Aged 50 years and over,475
E01000056,Barking and Dagenham 018C,1,Aged 15 years and under,434
E01000056,Barking and Dagenham 018C,2,Aged 16 to 24 years,182
E01000056,Barking and Dagenham 018C,3,Aged 25 to 34 years,246
E01000056,Barking and Dagenham 018C,4,Aged 35 to 49 years,358
E01000056,Barking and Dagenham 018C,5,Aged 50 years and over,482
E01000057,Barking and Dagenham 012A,1,Aged 15 years and under,402
E01000057,Barking and Dagenham 012A,2,Aged 16 to 24 years,164
E01000057,Barking and Dagenham 012A,3,Aged 25 to 34 years,223
E01000057,Barking and Dagenham 012A,4,Aged 35 to 49 years,378
E01000057,Barking and Dagenham 012A,5,Aged 50 years and over,383
E01000058,Barking and Dagenham 018D,1,Aged 15 years and under,544
E01000058,Barking and Dagenham 018D,2,Aged 16 to 24 years,278
E01000058,Barking and Dagenham 018D,3,Aged 25 to 34 years,288
E01000058,Barking and Dagenham 018D,4,Aged 35 to 49 years,505
E01000058,Barking and Dagenham 018D,5,Aged 50 years and over,520
E01000059,Barking and Dagenham 013C,1,Aged 15 years and under,413
E01000059,Barking and Dagenham 013C,2,Aged 16 to 24 years,183
E01000059,Barking and Dagenham 013C,3,Aged 25 to 34 years,240
E01000059,Barking and Dagenham 013C,4,Aged 35 to 49 years,345
E01000059,Barking and Dagenham 013C,5,Aged 50 years and over,529
E01000060,Barking and Dagenham 006B,1,Aged 15 years and under,629
E01000060,Barking and Dagenham 006B,2,Aged 16 to 24 years,245
E01000060,Barking and Dagenham 006B,3,Aged 25 to 34 years,281
E01000060,Barking and Dagenham 006B,4,Aged 35 to 49 years,491
E01000060,Barking and Dagenham 006B,5,Aged 50 years and over,536
E01000061,Barking and Dagenham 006C,1,Aged 15 years and under,545
E01000061,Barking and Dagenham 006C,2,Aged 16 to 24 years,232
E01000061,Barking and Dagenham 006C,3,Aged 25 to 34 years,374
E01000061,Barking and Dagenham 006C,4,Aged 35 to 49 years,410
E01000061,Barking and Dagenham 006C,5,Aged 50 years and over,365
E01000062,Barking and Dagenham 006D,1,Aged 15 years and under,537
E01000062,Barking and Dagenham 006D,2,Aged 16 to 24 years,269
E01000062,Barking and Dagenham 006D,3,Aged 25 to 34 years,329
E01000062,Barking and Dagenham 006D,4,Aged 35 to 49 years,453
E01000062,Barking and Dagenham 006D,5,Aged 50 years and over,630
E01000063,Barking and Dagenham 004A,1,Aged 15 years and under,446
E01000063,Barking and Dagenham 004A,2,Aged 16 to 24 years,189
E01000063,Barking and Dagenham 004A,3,Aged 25 to 34 years,241
E01000063,Barking and Dagenham 004A,4,Aged 35 to 49 years,421
E01000063,Barking and Dagenham 004A,5,Aged 50 years and over,481
E01000064,Barking and Dagenham 006E,1,Aged 15 years and under,561
E01000064,Barking and Dagenham 006E,2,Aged 16 to 24 years,261
E01000064,Barking and Dagenham 006E,3,Aged 25 to 34 years,326
E01000064,Barking and Dagenham 006E,4,Aged 35 to 49 years,530
E01000064,Barking and Dagenham 006E,5,Aged 50 years and over,618
E01000065,Barking and Dagenham 007A,1,Aged 15 years and under,446
E01000065,Barking and Dagenham 007A,2,Aged 16 to 24 years,203
E01000065,Barking and Dagenham 007A,3,Aged 25 to 34 years,240
E01000065,Barking and Dagenham 007A,4,Aged 35 to 49 years,464
E01000065,Barking and Dagenham 007A,5,Aged 50 years and over,629
E01000066,Barking and Dagenham 011A,1,Aged 15 years and under,580
E01000066,Barking and Dagenham 011A,2,Aged 16 to 24 years,479
E01000066,Barking and Dagenham 011A,3,Aged 25 to 34 years,318
E01000066,Barking and Dagenham 011A,4,Aged 35 to 49 years,502
E01000066,Barking and Dagenham 011A,5,Aged 50 years and over,619
E01000067,Barking and Dagenham 011B,1,Aged 15 years and under,561
E01000067,Barking and Dagenham 011B,2,Aged 16 to 24 years,290
E01000067,Barking and Dagenham 011B,3,Aged 25 to 34 years,330
E01000067,Barking and Dagenham 011B,4,Aged 35 to 49 years,461
E01000067,Barking and Dagenham 011B,5,Aged 50 years and over,594
E01000068,Barking and Dagenham 016E,1,Aged 15 years and under,317
E01000068,Barking and Dagenham 016E,2,Aged 16 to 24 years,257
E01000068,Barking and Dagenham 016E,3,Aged 25 to 34 years,287
E01000068,Barking and Dagenham 016E,4,Aged 35 to 49 years,432
E01000068,Barking and Dagenham 016E,5,Aged 50 years and over,502
E01000069,Barking and Dagenham 011C,1,Aged 15 years and under,445
E01000069,Barking and Dagenham 011C,2,Aged 16 to 24 years,276
E01000069,Barking and Dagenham 011C,3,Aged 25 to 34 years,415
E01000069,Barking and Dagenham 011C,4,Aged 35 to 49 years,402
E01000069,Barking and Dagenham 011C,5,Aged 50 years and over,558
E01000070,Barking and Dagenham 011D,1,Aged 15 years and under,468
E01000070,Barking and Dagenham 011D,2,Aged 16 to 24 years,237
E01000070,Barking and Dagenham 011D,3,Aged 25 to 34 years,311
E01000070,Barking and Dagenham 011D,4,Aged 35 to 49 years,465
E01000070,Barking and Dagenham 011D,5,Aged 50 years and over,592
E01000071,Barking and Dagenham 011E,1,Aged 15 years and under,612
E01000071,Barking and Dagenham 011E,2,Aged 16 to 24 years,335
E01000071,Barking and Dagenham 011E,3,Aged 25 to 34 years,385
E01000071,Barking and Dagenham 011E,4,Aged 35 to 49 years,629
E01000071,Barking and Dagenham 011E,5,Aged 50 years and over,645
E01000072,Barking and Dagenham 017E,1,Aged 15 years and under,588
E01000072,Barking and Dagenham 017E,2,Aged 16 to 24 years,252
E01000072,Barking and Dagenham 017E,3,Aged 25 to 34 years,317
E01000072,Barking and Dagenham 017E,4,Aged 35 to 49 years,501
E01000072,Barking and Dagenham 017E,5,Aged 50 years and over,491
E01000073,Barking and Dagenham 012B,1,Aged 15 years and under,487
E01000073,Barking and Dagenham 012B,2,Aged 16 to 24 years,175
E01000073,Barking and Dagenham 012B,3,Aged 25 to 34 years,271
E01000073,Barking and Dagenham 012B,4,Aged 35 to 49 years,431
E01000073,Barking and Dagenham 012B,5,Aged 50 years and over,484
E01000074,Barking and Dagenham 012C,1,Aged 15 years and under,475
E01000074,Barking and Dagenham 012C,2,Aged 16 to 24 years,207
E01000074,Barking and Dagenham 012C,3,Aged 25 to 34 years,242
E01000074,Barking and Dagenham 012C,4,Aged 35 to 49 years,427
E01000074,Barking and Dagenham 012C,5,Aged 50 years and over,408
E01000075,Barking and Dagenham 012D,1,Aged 15 years and under,536
E01000075,Barking and Dagenham 012D,2,Aged 16 to 24 years,230
E01000075,Barking and Dagenham 012D,3,Aged 25 to 34 years,308
E01000075,Barking and Dagenham 012D,4,Aged 35 to 49 years,455
E01000075,Barking and Dagenham 012D,5,Aged 50 years and over,551
E01000076,Barking and Dagenham 012E,1,Aged 15 years and under,532
E01000076,Barking and Dagenham 012E,2,Aged 16 to 24 years,261
E01000076,Barking and Dagenham 012E,3,Aged 25 to 34 years,278
E01000076,Barking and Dagenham 012E,4,Aged 35 to 49 years,505
E01000076,Barking and Dagenham 012E,5,Aged 50 years and over,585
E01000077,Barking and Dagenham 008F,1,Aged 15 years and under,426
E01000077,Barking and Dagenham 008F,2,Aged 16 to 24 years,203
E01000077,Barking and Dagenham 008F,3,Aged 25 to 34 years,220
E01000077,Barking and Dagenham 008F,4,Aged 35 to 49 years,388
E01000077,Barking and Dagenham 008F,5,Aged 50 years and over,481
E01000078,Barking and Dagenham 007B,1,Aged 15 years and under,546
E01000078,Barking and Dagenham 007B,2,Aged 16 to 24 years,188
E01000078,Barking and Dagenham 007B,3,Aged 25 to 34 years,260
E01000078,Barking and Dagenham 007B,4,Aged 35 to 49 years,441
E01000078,Barking and Dagenham 007B,5,Aged 50 years and over,462
E01000079,Barking and Dagenham 009E,1,Aged 15 years and under,433
E01000079,Barking and Dagenham 009E,2,Aged 16 to 24 years,184
E01000079,Barking and Dagenham 009E,3,Aged 25 to 34 years,220
E01000079,Barking and Dagenham 009E,4,Aged 35 to 49 years,392
E01000079,Barking and Dagenham 009E,5,Aged 50 years and over,487
E01000080,Barking and Dagenham 007C,1,Aged 15 years and under,441
E01000080,Barking and Dagenham 007C,2,Aged 16 to 24 years,214
E01000080,Barking and Dagenham 007C,3,Aged 25 to 34 years,247
E01000080,Barking and Dagenham 007C,4,Aged 35 to 49 years,408
E01000080,Barking and Dagenham 007C,5,Aged 50 years and over,467
E01000081,Barking and Dagenham 007D,1,Aged 15 years and under,471
E01000081,Barking and Dagenham 007D,2,Aged 16 to 24 years,217
E01000081,Barking and Dagenham 007D,3,Aged 25 to 34 years,308
E01000081,Barking and Dagenham 007D,4,Aged 35 to 49 years,453
E01000081,Barking and Dagenham 007D,5,Aged 50 years and over,529
E01000082,Barking and Dagenham 007E,1,Aged 15 years and under,471
E01000082,Barking and Dagenham 007E,2,Aged 16 to 24 years,199
E01000082,Barking and Dagenham 007E,3,Aged 25 to 34 years,233
E01000082,Barking and Dagenham 007E,4,Aged 35 to 49 years,488
E01000082,Barking and Dagenham 007E,5,Aged 50 years and over,523
E01000083,Barking and Dagenham 007F,1,Aged 15 years and under,537
E01000083,Barking and Dagenham 007F,2,Aged 16 to 24 years,200
E01000083,Barking and Dagenham 007F,3,Aged 25 to 34 years,238
E01000083,Barking and Dagenham 007F,4,Aged 35 to 49 years,462
E01000083,Barking and Dagenham 007F,5,Aged 50 years and over,482
E01000084,Barking and Dagenham 013D,1,Aged 15 years and under,352
E01000084,Barking and Dagenham 013D,2,Aged 16 to 24 years,145
E01000084,Barking and Dagenham 013D,3,Aged 25 to 34 years,195
E01000084,Barking and Dagenham 013D,4,Aged 35 to 49 years,328
E01000084,Barking and Dagenham 013D,5,Aged 50 years and over,416
E01000085,Barking and Dagenham 013E,1,Aged 15 years and under,404
E01000085,Barking and Dagenham 013E,2,Aged 16 to 24 years,208
E01000085,Barking and Dagenham 013E,3,Aged 25 to 34 years,231
E01000085,Barking and Dagenham 013E,4,Aged 35 to 49 years,396
E01000085,Barking and Dagenham 013E,5,Aged 50 years and over,407
E01000086,Barking and Dagenham 013F,1,Aged 15 years and under,358
E01000086,Barking and Dagenham 013F,2,Aged 16 to 24 years,174
E01000086,Barking and Dagenham 013F,3,Aged 25 to 34 years,199
E01000086,Barking and Dagenham 013F,4,Aged 35 to 49 years,321
E01000086,Barking and Dagenham 013F,5,Aged 50 years and over,398
E01000087,Barking and Dagenham 020B,1,Aged 15 years and under,413
E01000087,Barking and Dagenham 020B,2,Aged 16 to 24 years,209
E01000087,Barking and Dagenham 020B,3,Aged 25 to 34 years,252
E01000087,Barking and Dagenham 020B,4,Aged 35 to 49 years,358
E01000087,Barking and Dagenham 020B,5,Aged 50 years and over,404
E01000088,Barking and Dagenham 020C,1,Aged 15 years and under,539
E01000088,Barking and Dagenham 020C,2,Aged 16 to 24 years,223
E01000088,Barking and Dagenham 020C,3,Aged 25 to 34 years,237
E01000088,Barking and Dagenham 020C,4,Aged 35 to 49 years,439
E01000088,Barking and Dagenham 020C,5,Aged 50 years and over,537
E01000089,Barking and Dagenham 020D,1,Aged 15 years and under,546
E01000089,Barking and Dagenham 020D,2,Aged 16 to 24 years,199
E01000089,Barking and Dagenham 020D,3,Aged 25 to 34 years,219
E01000089,Barking and Dagenham 020D,4,Aged 35 to 49 years,418
E01000089,Barking and Dagenham 020D,5,Aged 50 years and over,442
E01000090,Barking and Dagenham 020E,1,Aged 15 years and under,485
E01000090,Barking and Dagenham 020E,2,Aged 16 to 24 years,206
E01000090,Barking and Dagenham 020E,3,Aged 25 to 34 years,207
E01000090,Barking and Dagenham 020E,4,Aged 35 to 49 years,390
E01000090,Barking and Dagenham 020E,5,Aged 50 years and over,420
E01000091,Barking and Dagenham 022A,1,Aged 15 years and under,616
E01000091,Barking and Dagenham 022A,2,Aged 16 to 24 years,267
E01000091,Barking and Dagenham 022A,3,Aged 25 to 34 years,281
